"","Area","MajorAxisLength","MinorAxisLength","Eccentricity","ConvexArea","Extent","Perimeter","Class"
"582",205497,632.7276067,414.1883255,0.755968807,209486,0.76928865,1736.839,"Besni"
"583",146420,598.0726814,314.3906394,0.850686743,149403,0.746736026,1531.955,"Besni"
"585",101103,484.1659011,269.145887,0.83125185,105500,0.67,1307.683,"Besni"
"589",112808,542.5047797,267.2018778,0.870293382,116961,0.743155287,1390.4,"Besni"
"593",128574,601.8002346,276.2481554,0.88841751,135975,0.67400216,1508.934,"Besni"
"596",80481,481.0639534,217.561151,0.891891237,85153,0.714973571,1219.105,"Besni"
"599",89236,389.6816918,295.3319356,0.652394055,92014,0.696992892,1144.036,"Besni"
"606",169078,644.9312689,336.5716285,0.853023753,173362,0.682988899,1629.634,"Besni"
"608",54321,395.01184,182.3239807,0.887105943,58632,0.625069042,1021.989,"Besni"
"614",117714,480.629674,314.026534,0.757043179,120922,0.724300244,1361.884,"Besni"
"616",107895,462.0461305,300.5589867,0.759510001,110755,0.764047729,1277.791,"Besni"
"617",199015,615.4172359,413.9274732,0.740009433,201464,0.768569796,1687.866,"Besni"
"618",130388,511.8975835,326.3124485,0.770486336,132727,0.719183673,1393.974,"Besni"
"619",106440,501.0443057,273.1940698,0.838273925,108790,0.750751174,1302.472,"Besni"
"621",78984,427.4942761,236.8825745,0.832437662,82328,0.69841719,1169.476,"Besni"
"622",135899,625.3482265,286.8998907,0.88854772,144444,0.632588558,1594.209,"Besni"
"623",193818,678.5595652,367.9003618,0.840263379,201241,0.79154619,1766.873,"Besni"
"628",104602,478.2226517,279.361007,0.811634818,106906,0.77991351,1263.012,"Besni"
"631",99378,466.397472,275.5755957,0.80677413,102653,0.6870381,1260.343,"Besni"
"632",90585,489.6477891,239.3502938,0.87238391,95774,0.672344689,1270.266,"Besni"
"634",54357,362.5947181,192.9493667,0.846659474,56006,0.699917592,945.828,"Besni"
"637",105347,476.8035004,282.0258157,0.806310313,108072,0.769034792,1266.876,"Besni"
"638",160583,630.6452291,326.2445303,0.855792865,165385,0.751898675,1646.559,"Besni"
"639",101772,477.9089439,273.4043639,0.820194593,104567,0.684337933,1266.657,"Besni"
"642",131847,560.4209076,302.6406658,0.841649703,134950,0.744313787,1446.145,"Besni"
"643",81998,423.6326319,251.2394448,0.805158483,83932,0.729480633,1130.427,"Besni"
"647",86846,459.3960385,242.6199645,0.849164703,89047,0.725930755,1173.308,"Besni"
"651",194864,657.8678432,378.0584606,0.818383583,197430,0.786426888,1700.937,"Besni"
"652",103313,503.4514388,266.4450356,0.848474157,108615,0.667043297,1343.017,"Besni"
"655",169880,648.904219,339.1311299,0.852564975,177170,0.713766518,1660.677,"Besni"
"656",69746,370.5604807,241.9144571,0.757501058,72724,0.71260281,1027.513,"Besni"
"657",172334,595.817747,375.0205347,0.777064027,174610,0.636111296,1591.894,"Besni"
"661",53325,351.2037065,197.2136417,0.827452081,56030,0.706141745,934.49,"Besni"
"662",151703,595.1070958,330.3427512,0.831784963,156402,0.67130865,1608.599,"Besni"
"664",81480,434.1002588,242.7017513,0.829105982,84581,0.674012309,1162.37,"Besni"
"667",178692,594.7221714,384.0380462,0.763554308,181288,0.74704638,1622.032,"Besni"
"677",51350,342.6553034,204.0111119,0.803442088,54576,0.649178255,930.051,"Besni"
"681",76364,381.8024151,258.5879725,0.73572335,78977,0.747347818,1075.8,"Besni"
"682",158808,658.9566002,308.528449,0.883618526,162376,0.726610542,1624.343,"Besni"
"683",106923,591.1158376,234.8233464,0.917708543,111428,0.522278775,1425.109,"Besni"
"684",60640,369.2703695,218.5287077,0.806095763,66145,0.711720382,1036.527,"Besni"
"685",88257,452.9245926,254.4821926,0.827229367,92886,0.736088407,1209.622,"Besni"
"701",116361,554.4901203,277.0668866,0.866210843,125132,0.747413046,1434.389,"Besni"
"704",135036,582.6875226,301.5684879,0.85565446,139124,0.634567669,1509.374,"Besni"
"714",104728,495.6716825,272.6867344,0.835075211,109157,0.730218937,1316.398,"Besni"
"719",83889,450.9889914,241.3303882,0.844780047,88842,0.729824958,1183.981,"Besni"
"722",91665,485.4521433,243.0800284,0.865604032,95741,0.700032075,1244.563,"Besni"
"723",126149,478.8771011,345.9199722,0.691520882,134778,0.624908356,1549.185,"Besni"
"724",101618,443.4929899,293.3841689,0.749918202,104508,0.750241792,1238.627,"Besni"
"726",79397,434.9940818,235.5194933,0.840744874,83074,0.696116854,1148.633,"Besni"
"727",86658,439.2290769,258.3043276,0.80879864,89048,0.699757752,1184.581,"Besni"
"729",53373,330.6772412,215.7016476,0.757958591,56639,0.654281336,936.823,"Besni"
"732",84383,403.9094148,271.2515091,0.74094546,87629,0.67494521,1140.605,"Besni"
"734",104656,489.4542174,273.4526643,0.829377269,106961,0.741609977,1273.128,"Besni"
"737",117301,507.2404407,296.8298817,0.810899272,122361,0.618402185,1407.401,"Besni"
"738",48007,302.6110474,209.1160842,0.72281732,50679,0.677051307,889.743,"Besni"
"741",109701,546.6352817,256.6147321,0.882962171,113425,0.580625185,1405.868,"Besni"
"747",122433,585.2941984,270.7088097,0.886610152,128445,0.579493175,1526.711,"Besni"
"750",96753,477.4997235,261.9434084,0.836102728,99964,0.694107266,1258.683,"Besni"
"758",97513,486.9021671,257.2700163,0.849007165,100196,0.688908984,1272.882,"Besni"
"771",131496,506.1154491,334.3317845,0.750752113,134210,0.705522559,1412.02,"Besni"
"772",175946,604.5300676,372.8498432,0.787151415,180289,0.775837589,1622.809,"Besni"
"774",106938,498.433852,274.5902751,0.834567201,110118,0.773187379,1285.854,"Besni"
"780",103915,516.4855009,260.1054455,0.863933164,106499,0.691085026,1285.063,"Besni"
"782",169494,614.9937443,352.28079,0.819681103,172094,0.740122616,1607.527,"Besni"
"785",81570,450.480907,233.6080557,0.855032254,84540,0.733213483,1162.256,"Besni"
"790",87252,433.4845202,261.0666438,0.798306516,90160,0.73579464,1166.517,"Besni"
"791",108771,472.208192,294.4538963,0.781769152,111241,0.770049274,1267.646,"Besni"
"795",105053,490.4095974,277.084224,0.825086992,107939,0.670404145,1297.279,"Besni"
"806",56244,398.8024524,182.8440459,0.888703306,58530,0.65636597,1008.134,"Besni"
"809",93430,467.6371192,258.947168,0.832692769,98337,0.7129884,1258.966,"Besni"
"814",152611,663.1332504,297.4179501,0.893780798,158488,0.61471504,1755.968,"Besni"
"815",83932,499.2377543,224.4723887,0.893214785,88572,0.67084419,1258.062,"Besni"
"824",106897,481.7946852,288.6600202,0.80064808,109314,0.715983148,1284.69,"Besni"
"825",111568,491.1120737,293.9110068,0.801152573,114128,0.734758929,1303.224,"Besni"
"830",127292,639.8506348,258.3819447,0.914840211,129101,0.534714521,1496.062,"Besni"
"832",48488,275.3377168,226.802199,0.566991437,50103,0.669594277,859.326,"Besni"
"834",78921,376.9878173,268.8326119,0.701055316,82584,0.719924469,1144.959,"Besni"
"837",181126,949.6626718,293.386698,0.951082244,225592,0.414153748,2352.029,"Besni"
"841",48551,302.8128348,205.9633801,0.733056942,50748,0.742824357,862.001,"Besni"
"842",92472,424.4199935,282.2115053,0.746901655,95982,0.746163157,1204.61,"Besni"
"847",75368,387.8523157,250.5845218,0.76326774,77706,0.735096754,1078.409,"Besni"
"852",73699,408.5855548,231.1420842,0.824602335,76106,0.703181055,1079.578,"Besni"
"853",71918,448.5277271,207.7512363,0.88626171,75002,0.696373759,1091.499,"Besni"
"854",127933,560.7226757,294.6625589,0.850790524,130766,0.667778474,1426.6,"Besni"
"857",159064,570.2169046,368.2206845,0.763544285,165584,0.781964054,1563.83,"Besni"
"860",137593,558.0587508,316.7128382,0.823355491,142114,0.677764642,1478.596,"Besni"
"873",66938,356.3232835,248.674245,0.71620554,69880,0.708661084,1022.705,"Besni"
"875",101770,468.6679004,279.8129101,0.802212378,103475,0.785177527,1233.824,"Besni"
"879",154498,621.3515398,318.5977308,0.858538226,159694,0.750048547,1585.782,"Besni"
"882",150420,607.7096735,316.8097244,0.853362761,153905,0.642408712,1557.266,"Besni"
"885",110936,500.9313423,286.2523864,0.820643598,113888,0.732395854,1319.435,"Besni"
"886",54502,346.457978,204.0812123,0.808096294,56464,0.636111111,927.283,"Besni"
"892",107486,462.8131338,296.0912378,0.768571317,108914,0.759967476,1235.078,"Besni"
"895",115272,511.4720359,291.5913488,0.821573762,119773,0.62476017,1392.653,"Besni"
"896",83248,430.0773077,247.8386945,0.817262582,85839,0.66879293,1129.072,"Besni"
"900",85609,512.0817743,215.2719758,0.907345395,89197,0.632019963,1272.862,"Besni"
